Date,Away,Points,Home,Points
Dec. 11,Boston Celtics,119,Golden State Warriors,124
Dec. 11,Denver Nuggets,111,Minnesota Timberwolves,108
Dec. 11,Indiana Pacers,96,Miami Heat,83
Dec. 11,Memphis Grizzlies,99,Charlotte Hornets,123
Dec. 11,New Orleans Pelicans,107,Washington Wizards,105
Dec. 11,Orlando Magic,76,Cleveland Cavaliers,111
Dec. 11,Philadelphia 76ers,95,Detroit Pistons,107
Dec. 11,Phoenix Suns,96,Portland Trail Blazers,106
Dec. 11,San Antonio Spurs,109,Los Angeles Lakers,87
Dec. 11,Toronto Raptors,90,Milwaukee Bucks,83
Dec. 11,Utah Jazz,90,Oklahoma City Thunder,94
Dec. 12,Atlanta Hawks,78,San Antonio Spurs,103
Dec. 12,Brooklyn Nets,100,Los Angeles Clippers,105
Dec. 12,Chicago Bulls,98,New Orleans Pelicans,94
Dec. 12,Charlotte Hornets,93,Boston Celtics,98
Dec. 12,Dallas Mavericks,111,Washington Wizards,114
Dec. 12,Detroit Pistons,118,Indiana Pacers,96
Dec. 12,Houston Rockets,126,Los Angeles Lakers,97
Dec. 12,Milwaukee Bucks,108,Golden State Warriors,95
Dec. 12,Portland Trail Blazers,110,New York Knicks,112
Dec. 13,Miami Heat,100,Memphis Grizzlies,97
Dec. 13,Oklahoma City Thunder,104,Utah Jazz,98
Dec. 13,Phoenix Suns,108,Minnesota Timberwolves,101
Dec. 13,Toronto Raptors,96,Philadelphia 76ers,76
Dec. 14,Atlanta Hawks,88,Miami Heat,100
Dec. 14,Brooklyn Nets,82,Orlando Magic,105
Dec. 14,Chicago Bulls,115,Philadelphia 76ers,96
Dec. 14,Dallas Mavericks,104,Phoenix Suns,94
Dec. 14,Denver Nuggets,114,Houston Rockets,108
Dec. 14,Detroit Pistons,103,Los Angeles Clippers,105
Dec. 14,Indiana Pacers,106,Toronto Raptors,90
Dec. 14,Memphis Grizzlies,112,Washington Wizards,95
Dec. 14,Portland Trail Blazers,105,New Orleans Pelicans,101
Dec. 14,San Antonio Spurs,118,Utah Jazz,81
Dec. 15,Boston Celtics,77,Cleveland Cavaliers,89
Dec. 15,Los Angeles Lakers,113,Milwaukee Bucks,95
Dec. 15,Minnesota Timberwolves,100,Denver Nuggets,112
Dec. 15,Sacramento Kings,107,Houston Rockets,97
Dec. 16,Atlanta Hawks,127,Philadelphia 76ers,106
Dec. 16,Brooklyn Nets,98,Miami Heat,104
Dec. 16,Chicago Bulls,98,Memphis Grizzlies,85
Dec. 16,Detroit Pistons,119,Boston Celtics,116
Dec. 16,Golden State Warriors,128,Phoenix Suns,103
Dec. 16,Indiana Pacers,107,Dallas Mavericks,81
Dec. 16,Los Angeles Clippers,103,Milwaukee Bucks,90
Dec. 16,New York Knicks,107,Minnesota Timberwolves,102
Dec. 16,Oklahoma City Thunder,106,Portland Trail Blazers,90
Dec. 16,Orlando Magic,113,Charlotte Hornets,98
Dec. 16,San Antonio Spurs,114,Washington Wizards,95
Dec. 16,Utah Jazz,94,New Orleans Pelicans,104
Dec. 17,Charlotte Hornets,109,Toronto Raptors,99
Dec. 17,Cleveland Cavaliers,104,Oklahoma City Thunder,100
Dec. 17,Los Angeles Lakers,87,Houston Rockets,107
Dec. 18,Boston Celtics,101,Atlanta Hawks,109
Dec. 18,Chicago Bulls,144,Detroit Pistons,147
Dec. 18,Dallas Mavericks,97,Memphis Grizzlies,88
Dec. 18,Golden State Warriors,121,Milwaukee Bucks,112
Dec. 18,Indiana Pacers,104,Brooklyn Nets,97
Dec. 18,Miami Heat,94,Toronto Raptors,108
Dec. 18,Minnesota Timberwolves,99,Sacramento Kings,95
Dec. 18,Orlando Magic,102,Portland Trail Blazers,94
Dec. 18,Philadelphia 76ers,97,New York Knicks,107
Dec. 18,Phoenix Suns,104,New Orleans Pelicans,88
Dec. 18,San Antonio Spurs,115,Los Angeles Clippers,107
Dec. 18,Utah Jazz,97,Denver Nuggets,88
Dec. 19,Houston Rockets,107,Los Angeles Clippers,97
Dec. 19,Memphis Grizzlies,96,Indiana Pacers,84
Dec. 19,New York Knicks,107,Chicago Bulls,91
Dec. 19,Oklahoma City Thunder,118,Los Angeles Lakers,78
Dec. 19,Washington Wizards,109,Charlotte Hornets,101
Dec. 20,Brooklyn Nets,85,Minnesota Timberwolves,100
Dec. 20,Cleveland Cavaliers,108,Philadelphia 76ers,86
Dec. 20,Denver Nuggets,125,New Orleans Pelicans,130
Dec. 20,Miami Heat,116,Portland Trail Blazers,109
Dec. 20,Orlando Magic,100,Atlanta Hawks,103
Dec. 20,Phoenix Suns,95,Milwaukee Bucks,101
Dec. 20,Toronto Raptors,94,Sacramento Kings,104
Dec. 21,Atlanta Hawks,106,Portland Trail Blazers,97
Dec. 21,Boston Celtics,113,Minnesota Timberwolves,99
Dec. 21,Chicago Bulls,102,Brooklyn Nets,105
Dec. 21,Houston Rockets,102,Charlotte Hornets,95
Dec. 21,Los Angeles Clippers,99,Oklahoma City Thunder,100
Dec. 21,New York Knicks,99,Orlando Magic,107
Dec. 21,San Antonio Spurs,106,Indiana Pacers,92
Dec. 21,Utah Jazz,110,Phoenix Suns,89
Dec. 21,Washington Wizards,113,Sacramento Kings,99
Dec. 22,Denver Nuggets,107,Los Angeles Lakers,111
Dec. 22,Miami Heat,92,Detroit Pistons,93
Dec. 22,Philadelphia 76ers,90,Memphis Grizzlies,104
Dec. 22,Toronto Raptors,103,Dallas Mavericks,99
Dec. 23,Atlanta Hawks,107,Detroit Pistons,100
Dec. 23,Brooklyn Nets,118,Dallas Mavericks,119
Dec. 23,Charlotte Hornets,89,Boston Celtics,102
Dec. 23,Cleveland Cavaliers,91,New York Knicks,84
Dec. 23,Golden State Warriors,103,Utah Jazz,85
Dec. 23,Indiana Pacers,106,Sacramento Kings,108
Dec. 23,Los Angeles Lakers,85,Oklahoma City Thunder,120
Dec. 23,Milwaukee Bucks,113,Philadelphia 76ers,100
Dec. 23,Minnesota Timberwolves,83,San Antonio Spurs,108
Dec. 23,New Orleans Pelicans,115,Portland Trail Blazers,89
Dec. 23,Orlando Magic,104,Houston Rockets,101
Dec. 23,Phoenix Suns,96,Denver Nuggets,104
Dec. 23,Washington Wizards,100,Memphis Grizzlies,91
Dec. 25,Golden State Warriors,89,Cleveland Cavaliers,83
Dec. 25,Houston Rockets,88,San Antonio Spurs,84
Dec. 25,Los Angeles Lakers,84,Los Angeles Clippers,94
Dec. 25,Miami Heat,94,New Orleans Pelicans,88
Dec. 25,Oklahoma City Thunder,96,Chicago Bulls,105
Dec. 26,Atlanta Hawks,117,New York Knicks,98
Dec. 26,Brooklyn Nets,96,Washington Wizards,111
Dec. 26,Charlotte Hornets,98,Memphis Grizzlies,92
Dec. 26,Dallas Mavericks,118,Chicago Bulls,111
Dec. 26,Detroit Pistons,93,Boston Celtics,99
Dec. 26,Milwaukee Bucks,90,Toronto Raptors,111
Dec. 26,Minnesota Timberwolves,88,Indiana Pacers,102
Dec. 26,New Orleans Pelicans,110,Houston Rockets,108
Dec. 26,Orlando Magic,101,Miami Heat,108
Dec. 26,Phoenix Suns,104,Philadelphia 76ers,111
Dec. 26,Portland Trail Blazers,105,Cleveland Cavaliers,76
Dec. 26,San Antonio Spurs,101,Denver Nuggets,86
Dec. 26,Utah Jazz,104,Los Angeles Clippers,109
Dec. 27,Boston Celtics,100,New York Knicks,91
Dec. 27,Memphis Grizzlies,112,Los Angeles Lakers,96
Dec. 27,Oklahoma City Thunder,122,Denver Nuggets,112
Dec. 27,Sacramento Kings,94,Portland Trail Blazers,98
Dec. 28,Chicago Bulls,104,Toronto Raptors,97
Dec. 28,Charlotte Hornets,108,Los Angeles Lakers,98
Dec. 28,Dallas Mavericks,103,Milwaukee Bucks,93
